video_name,event_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,peak_MAR,opening_speed,closing_speed,oscillation_count,baseline_deviation,label
10-FemaleNoGlasses-Normal.avi,1,162,185,5.4054,6.1728,0.8008,0.193506,0.26244,0.097333,1,0.188165,normal
1-FemaleNoGlasses-Talking.avi,1,15,306,0.5005,10.2102,9.7431,0.428694,0.045587,0.082914,35,0.421089,talking/singing
1-FemaleNoGlasses-Talking.avi,2,312,316,10.4104,10.5439,0.1668,0.162891,0.057903,0.459819,1,0.155286,talking/singing
1-FemaleNoGlasses-Talking.avi,3,334,344,11.1445,11.4781,0.367,0.188544,0.172588,0.319724,1,0.180938,talking/singing
1-FemaleNoGlasses-Talking.avi,4,385,474,12.8462,15.8158,3.003,0.238535,0.164139,0.046221,9,0.230929,talking/singing
1-FemaleNoGlasses-Talking.avi,5,481,492,16.0494,16.4164,0.4004,0.262947,0.618732,0.852013,1,0.255341,talking/singing
1-FemaleNoGlasses-Talking.avi,6,508,513,16.9503,17.1171,0.2002,0.175354,0.244377,0.455756,1,0.167748,talking/singing
1-FemaleNoGlasses-Talking.avi,7,541,550,18.0514,18.3517,0.3337,0.187844,0.130695,0.588536,1,0.180238,talking/singing
10-FemaleNoGlasses-Talking.avi,1,43,46,1.4348,1.5349,0.1335,0.164217,0.0,0.498089,0,0.155821,talking/singing
10-FemaleNoGlasses-Talking.avi,2,53,58,1.7684,1.9353,0.2002,0.178495,0.218796,0.406616,1,0.170099,talking/singing
10-FemaleNoGlasses-Talking.avi,3,77,119,2.5692,3.9706,1.4348,0.18967,0.026136,0.26541,3,0.181274,talking/singing
10-FemaleNoGlasses-Talking.avi,4,208,213,6.9403,7.1071,0.2002,0.209794,0.374981,1.239475,1,0.201399,talking/singing
10-FemaleNoGlasses-Talking.avi,5,330,342,11.011,11.4114,0.4338,0.324896,0.834229,0.873296,1,0.316501,talking/singing
10-FemaleNoGlasses-Talking.avi,6,350,355,11.6783,11.8452,0.2002,0.165486,0.037608,0.441714,1,0.15709,talking/singing
10-FemaleNoGlasses-Talking.avi,7,400,405,13.3467,13.5135,0.2002,0.183956,0.197539,0.790983,1,0.17556,talking/singing
10-FemaleNoGlasses-Talking.avi,8,528,566,17.6176,18.8855,1.3013,0.211203,0.38143,0.074965,5,0.202807,talking/singing
10-FemaleNoGlasses-Talking.avi,9,576,580,19.2192,19.3527,0.1668,0.166611,0.109058,0.690877,1,0.158215,talking/singing
10-FemaleNoGlasses-Talking.avi,10,592,604,19.7531,20.1535,0.4338,0.243246,0.472128,0.436784,1,0.234851,talking/singing
10-FemaleNoGlasses-Talking.avi,11,630,652,21.021,21.7551,0.7674,0.201167,0.150648,0.150917,1,0.192771,talking/singing
10-FemaleNoGlasses-Talking.avi,12,675,683,22.5225,22.7894,0.3003,0.188001,0.164894,0.357909,1,0.179605,talking/singing
10-FemaleNoGlasses-Talking.avi,13,799,976,26.66,32.5659,5.9393,0.373356,0.037223,0.475614,25,0.36496,talking/singing
10-FemaleNoGlasses-Talking.avi,14,987,1026,32.9329,34.2342,1.3347,0.211961,0.185642,0.08261,5,0.203566,talking/singing
1-FemaleNoGlasses-Yawning.avi,1,48,168,1.6016,5.6056,4.0374,1.089859,0.309775,0.939722,7,1.073162,yawning
1-FemaleNoGlasses-Yawning.avi,2,229,236,7.641,7.8745,0.2669,0.182573,0.184593,0.329347,1,0.165876,yawning
10-FemaleNoGlasses-Yawning.avi,1,82,102,2.7361,3.4034,0.7007,0.423459,0.01883,0.050019,1,0.151035,yawning
