video_name,event_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,peak_MAR,opening_speed,closing_speed,oscillation_count,baseline_deviation,label
10-FemaleNoGlasses-Normal.avi,1,162,186,5.4054,6.2062,0.8342,0.193506,0.26244,0.101159,1,0.190786,normal
1-FemaleNoGlasses-Talking.avi,1,16,22,0.5339,0.7341,0.2336,0.193696,0.147446,0.461664,1,0.175923,talking/singing
1-FemaleNoGlasses-Talking.avi,2,26,83,0.8675,2.7694,1.9353,0.252818,0.136386,0.085195,5,0.235045,talking/singing
1-FemaleNoGlasses-Talking.avi,3,118,220,3.9373,7.3407,3.4368,0.307752,0.046864,0.395502,7,0.289979,talking/singing
1-FemaleNoGlasses-Talking.avi,4,222,305,7.4074,10.1768,2.8028,0.261863,0.169018,0.05965,13,0.24409,talking/singing
1-FemaleNoGlasses-Talking.avi,5,334,343,11.1445,11.4448,0.3337,0.188544,0.172588,0.28041,1,0.17077,talking/singing
1-FemaleNoGlasses-Talking.avi,6,386,414,12.8795,13.8138,0.9676,0.238535,0.141586,0.196133,1,0.220762,talking/singing
1-FemaleNoGlasses-Talking.avi,7,428,474,14.2809,15.8158,1.5682,0.229699,0.27821,0.0812,7,0.211926,talking/singing
1-FemaleNoGlasses-Talking.avi,8,482,491,16.0827,16.383,0.3337,0.262947,0.489762,0.807526,1,0.245174,talking/singing
1-FemaleNoGlasses-Talking.avi,9,509,513,16.9836,17.1171,0.1668,0.175354,0.0,0.455756,0,0.157581,talking/singing
1-FemaleNoGlasses-Talking.avi,10,542,550,18.0847,18.3517,0.3003,0.187844,0.093331,0.588536,1,0.170071,talking/singing
10-FemaleNoGlasses-Talking.avi,1,43,46,1.4348,1.5349,0.1335,0.164217,0.0,0.498089,0,0.1585,talking/singing
10-FemaleNoGlasses-Talking.avi,2,53,58,1.7684,1.9353,0.2002,0.178495,0.218796,0.406616,1,0.172778,talking/singing
10-FemaleNoGlasses-Talking.avi,3,76,119,2.5359,3.9706,1.4681,0.18967,0.027741,0.26541,3,0.183953,talking/singing
10-FemaleNoGlasses-Talking.avi,4,182,190,6.0727,6.3397,0.3003,0.156064,0.00154,0.157356,1,0.150347,talking/singing
10-FemaleNoGlasses-Talking.avi,5,330,342,11.011,11.4114,0.4338,0.324896,0.834229,0.873296,1,0.319179,talking/singing
10-FemaleNoGlasses-Talking.avi,6,350,355,11.6783,11.8452,0.2002,0.165486,0.037608,0.441714,1,0.159769,talking/singing
10-FemaleNoGlasses-Talking.avi,7,400,405,13.3467,13.5135,0.2002,0.183956,0.197539,0.790983,1,0.178239,talking/singing
10-FemaleNoGlasses-Talking.avi,8,528,567,17.6176,18.9189,1.3347,0.211203,0.38143,0.098472,5,0.205486,talking/singing
10-FemaleNoGlasses-Talking.avi,9,576,580,19.2192,19.3527,0.1668,0.166611,0.109058,0.690877,1,0.160894,talking/singing
10-FemaleNoGlasses-Talking.avi,10,592,605,19.7531,20.1868,0.4671,0.243246,0.472128,0.394725,1,0.23753,talking/singing
10-FemaleNoGlasses-Talking.avi,11,630,652,21.021,21.7551,0.7674,0.201167,0.150648,0.150917,1,0.19545,talking/singing
10-FemaleNoGlasses-Talking.avi,12,674,684,22.4891,22.8228,0.367,0.188001,0.225011,0.43795,1,0.182284,talking/singing
10-FemaleNoGlasses-Talking.avi,13,696,741,23.2232,24.7247,1.5349,0.15738,0.0,0.023706,6,0.151663,talking/singing
10-FemaleNoGlasses-Talking.avi,14,799,980,26.66,32.6993,6.0727,0.373356,0.037223,0.429798,23,0.367639,talking/singing
10-FemaleNoGlasses-Talking.avi,15,987,1026,32.9329,34.2342,1.3347,0.211961,0.185642,0.08261,5,0.206244,talking/singing
1-FemaleNoGlasses-Yawning.avi,1,48,182,1.6016,6.0727,4.5045,1.088187,0.366931,0.511205,3,1.082116,yawning
10-FemaleNoGlasses-Yawning.avi,1,0,153,0.0,5.1051,5.1385,0.423459,0.095451,0.129771,7,0.41617,yawning
10-FemaleNoGlasses-Yawning.avi,2,346,494,11.5449,16.4831,4.9716,0.391809,0.065131,0.168089,17,0.38452,yawning
