video_name,event_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,peak_MAR,opening_speed,closing_speed,oscillation_count,baseline_deviation,label
10-FemaleNoGlasses-Normal.avi,1,162,186,5.4054,6.2062,0.8342,0.193506,0.26244,0.101159,1,0.189053,normal
1-FemaleNoGlasses-Talking.avi,1,180,216,6.006,7.2072,1.2346,0.428694,0.539066,0.246637,3,0.324066,talking/singing
1-FemaleNoGlasses-Talking.avi,2,237,245,7.9079,8.1748,0.3003,0.261863,0.095064,0.175299,1,0.157234,talking/singing
1-FemaleNoGlasses-Talking.avi,3,485,489,16.1828,16.3163,0.1668,0.262947,0.089294,0.534278,1,0.158318,talking/singing
10-FemaleNoGlasses-Talking.avi,1,53,58,1.7684,1.9353,0.2002,0.178495,0.218796,0.406616,1,0.160422,talking/singing
10-FemaleNoGlasses-Talking.avi,2,108,118,3.6036,3.9373,0.367,0.18967,0.155072,0.255919,1,0.171597,talking/singing
10-FemaleNoGlasses-Talking.avi,3,208,212,6.9403,7.0737,0.1668,0.209794,0.374981,1.207205,1,0.191722,talking/singing
10-FemaleNoGlasses-Talking.avi,4,330,342,11.011,11.4114,0.4338,0.324896,0.834229,0.873296,1,0.306824,talking/singing
10-FemaleNoGlasses-Talking.avi,5,400,405,13.3467,13.5135,0.2002,0.183956,0.197539,0.790983,1,0.165884,talking/singing
10-FemaleNoGlasses-Talking.avi,6,529,566,17.651,18.8855,1.2679,0.211203,0.277435,0.074965,5,0.19313,talking/singing
10-FemaleNoGlasses-Talking.avi,7,592,603,19.7531,20.1201,0.4004,0.243246,0.472128,0.465078,1,0.225174,talking/singing
10-FemaleNoGlasses-Talking.avi,8,630,652,21.021,21.7551,0.7674,0.201167,0.150648,0.150917,1,0.183095,talking/singing
10-FemaleNoGlasses-Talking.avi,9,675,683,22.5225,22.7894,0.3003,0.188001,0.164894,0.357909,1,0.169929,talking/singing
10-FemaleNoGlasses-Talking.avi,10,799,975,26.66,32.5325,5.9059,0.373356,0.037223,0.479465,25,0.355283,talking/singing
10-FemaleNoGlasses-Talking.avi,11,987,1025,32.9329,34.2008,1.3013,0.211961,0.185642,0.071734,5,0.193889,talking/singing
1-FemaleNoGlasses-Yawning.avi,1,48,168,1.6016,5.6056,4.0374,1.089859,0.309775,0.939722,7,1.082386,yawning
1-FemaleNoGlasses-Yawning.avi,2,229,237,7.641,7.9079,0.3003,0.182573,0.184593,0.364108,1,0.1751,yawning
10-FemaleNoGlasses-Yawning.avi,1,1,152,0.0334,5.0717,5.0717,0.423459,0.09156,0.129718,7,0.404419,yawning
10-FemaleNoGlasses-Yawning.avi,2,229,236,7.641,7.8745,0.2669,0.195369,0.290163,0.442518,1,0.176328,yawning
10-FemaleNoGlasses-Yawning.avi,3,246,256,8.2082,8.5419,0.367,0.239467,0.452648,0.649468,1,0.220427,yawning
10-FemaleNoGlasses-Yawning.avi,4,275,285,9.1758,9.5095,0.367,0.208215,0.202925,0.30247,1,0.189175,yawning
10-FemaleNoGlasses-Yawning.avi,5,346,492,11.5449,16.4164,4.9049,0.391809,0.065131,0.165933,17,0.372768,yawning
10-FemaleNoGlasses-Yawning.avi,6,573,623,19.1191,20.7874,1.7017,0.183901,0.063312,0.031212,3,0.164861,yawning
