video_name,event_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,peak_MAR,opening_speed,closing_speed,oscillation_count,baseline_deviation,label
10-FemaleNoGlasses-Normal.avi,1,162,186,5.4054,6.2062,0.8342,0.193506,0.26244,0.101159,1,0.190738,normal
1-FemaleNoGlasses-Talking.avi,1,16,22,0.5339,0.7341,0.2336,0.193696,0.147446,0.461664,1,0.174148,talking/singing
1-FemaleNoGlasses-Talking.avi,2,26,83,0.8675,2.7694,1.9353,0.252818,0.136386,0.085195,5,0.23327,talking/singing
1-FemaleNoGlasses-Talking.avi,3,119,219,3.9706,7.3073,3.37,0.428694,0.110784,0.29007,9,0.409146,talking/singing
1-FemaleNoGlasses-Talking.avi,4,222,305,7.4074,10.1768,2.8028,0.261863,0.169018,0.05965,13,0.242315,talking/singing
1-FemaleNoGlasses-Talking.avi,5,334,343,11.1445,11.4448,0.3337,0.188544,0.172588,0.28041,1,0.168995,talking/singing
1-FemaleNoGlasses-Talking.avi,6,386,414,12.8795,13.8138,0.9676,0.238535,0.141586,0.196133,1,0.218987,talking/singing
1-FemaleNoGlasses-Talking.avi,7,428,474,14.2809,15.8158,1.5682,0.229699,0.27821,0.0812,7,0.210151,talking/singing
1-FemaleNoGlasses-Talking.avi,8,482,491,16.0827,16.383,0.3337,0.262947,0.489762,0.807526,1,0.243398,talking/singing
1-FemaleNoGlasses-Talking.avi,9,509,513,16.9836,17.1171,0.1668,0.175354,0.0,0.455756,0,0.155806,talking/singing
1-FemaleNoGlasses-Talking.avi,10,542,550,18.0847,18.3517,0.3003,0.187844,0.093331,0.588536,1,0.168296,talking/singing
10-FemaleNoGlasses-Talking.avi,1,43,46,1.4348,1.5349,0.1335,0.164217,0.0,0.498089,0,0.158723,talking/singing
10-FemaleNoGlasses-Talking.avi,2,53,58,1.7684,1.9353,0.2002,0.178495,0.218796,0.406616,1,0.173001,talking/singing
10-FemaleNoGlasses-Talking.avi,3,76,119,2.5359,3.9706,1.4681,0.18967,0.027741,0.26541,3,0.184176,talking/singing
10-FemaleNoGlasses-Talking.avi,4,182,190,6.0727,6.3397,0.3003,0.156064,0.00154,0.157356,1,0.15057,talking/singing
10-FemaleNoGlasses-Talking.avi,5,208,213,6.9403,7.1071,0.2002,0.209794,0.374981,1.239475,1,0.2043,talking/singing
10-FemaleNoGlasses-Talking.avi,6,330,342,11.011,11.4114,0.4338,0.324896,0.834229,0.873296,1,0.319402,talking/singing
10-FemaleNoGlasses-Talking.avi,7,350,355,11.6783,11.8452,0.2002,0.165486,0.037608,0.441714,1,0.159992,talking/singing
10-FemaleNoGlasses-Talking.avi,8,400,405,13.3467,13.5135,0.2002,0.183956,0.197539,0.790983,1,0.178462,talking/singing
10-FemaleNoGlasses-Talking.avi,9,528,567,17.6176,18.9189,1.3347,0.211203,0.38143,0.098472,5,0.205709,talking/singing
10-FemaleNoGlasses-Talking.avi,10,576,580,19.2192,19.3527,0.1668,0.166611,0.109058,0.690877,1,0.161117,talking/singing
10-FemaleNoGlasses-Talking.avi,11,592,605,19.7531,20.1868,0.4671,0.243246,0.472128,0.394725,1,0.237752,talking/singing
10-FemaleNoGlasses-Talking.avi,12,630,652,21.021,21.7551,0.7674,0.201167,0.150648,0.150917,1,0.195673,talking/singing
10-FemaleNoGlasses-Talking.avi,13,674,684,22.4891,22.8228,0.367,0.188001,0.225011,0.43795,1,0.182507,talking/singing
10-FemaleNoGlasses-Talking.avi,14,696,725,23.2232,24.1908,1.001,0.15738,0.0,0.042961,6,0.151886,talking/singing
10-FemaleNoGlasses-Talking.avi,15,799,976,26.66,32.5659,5.9393,0.373356,0.037223,0.475614,25,0.367862,talking/singing
10-FemaleNoGlasses-Talking.avi,16,987,1026,32.9329,34.2342,1.3347,0.211961,0.185642,0.08261,5,0.206467,talking/singing
1-FemaleNoGlasses-Yawning.avi,1,48,168,1.6016,5.6056,4.0374,1.089859,0.309775,0.939722,7,1.083652,yawning
1-FemaleNoGlasses-Yawning.avi,2,229,237,7.641,7.9079,0.3003,0.182573,0.184593,0.364108,1,0.176365,yawning
10-FemaleNoGlasses-Yawning.avi,1,0,152,0.0,5.0717,5.1051,0.423459,0.095451,0.129718,7,0.416166,yawning
10-FemaleNoGlasses-Yawning.avi,2,228,236,7.6076,7.8745,0.3003,0.195369,0.32703,0.442518,1,0.188076,yawning
10-FemaleNoGlasses-Yawning.avi,3,245,256,8.1748,8.5419,0.4004,0.239467,0.481493,0.649468,1,0.232174,yawning
10-FemaleNoGlasses-Yawning.avi,4,264,267,8.8088,8.9089,0.1335,0.158793,0.0,0.686791,0,0.151501,yawning
10-FemaleNoGlasses-Yawning.avi,5,274,288,9.1425,9.6096,0.5005,0.208215,0.3099,0.260188,1,0.200923,yawning
10-FemaleNoGlasses-Yawning.avi,6,346,494,11.5449,16.4831,4.9716,0.391809,0.065131,0.168089,17,0.384516,yawning
10-FemaleNoGlasses-Yawning.avi,7,571,631,19.0524,21.0544,2.0354,0.183901,0.088818,0.033615,3,0.176609,yawning
