video_name,event_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,peak_MAR,opening_speed,closing_speed,oscillation_count,baseline_deviation,label
10-FemaleNoGlasses-Normal.avi,1,160,185,5.3387,6.1728,0.8675,0.19526,0.329122,0.101857,1,0.190173,normal
1-FemaleNoGlasses-Talking.avi,1,14,21,0.4671,0.7007,0.2669,0.199431,0.278342,0.59597,1,0.191367,talking/singing
1-FemaleNoGlasses-Talking.avi,2,25,218,0.8342,7.2739,6.4731,0.442769,0.047629,0.306188,29,0.434705,talking/singing
1-FemaleNoGlasses-Talking.avi,3,221,289,7.374,9.643,2.3023,0.264626,0.174048,0.081723,11,0.256562,talking/singing
1-FemaleNoGlasses-Talking.avi,4,292,304,9.7431,10.1435,0.4338,0.21663,0.180128,0.467136,1,0.208566,talking/singing
1-FemaleNoGlasses-Talking.avi,5,310,315,10.3437,10.5105,0.2002,0.167303,0.26135,0.303134,1,0.159239,talking/singing
1-FemaleNoGlasses-Talking.avi,6,332,343,11.0777,11.4448,0.4004,0.190629,0.231075,0.315713,1,0.182565,talking/singing
1-FemaleNoGlasses-Talking.avi,7,384,414,12.8128,13.8138,1.0344,0.241866,0.14299,0.213251,3,0.233802,talking/singing
1-FemaleNoGlasses-Talking.avi,8,426,473,14.2142,15.7824,1.6016,0.23174,0.25397,0.081622,7,0.223675,talking/singing
1-FemaleNoGlasses-Talking.avi,9,480,490,16.016,16.3497,0.367,0.266134,0.525293,1.081434,1,0.258069,talking/singing
1-FemaleNoGlasses-Talking.avi,10,506,512,16.8835,17.0837,0.2336,0.179852,0.304806,0.467054,1,0.171788,talking/singing
1-FemaleNoGlasses-Talking.avi,11,539,549,17.9846,18.3183,0.367,0.195096,0.172183,0.636657,3,0.187032,talking/singing
10-FemaleNoGlasses-Talking.avi,1,42,45,1.4014,1.5015,0.1335,0.173459,0.088825,0.88831,1,0.16492,talking/singing
10-FemaleNoGlasses-Talking.avi,2,51,57,1.7017,1.9019,0.2336,0.183818,0.326668,0.49404,1,0.17528,talking/singing
10-FemaleNoGlasses-Talking.avi,3,76,118,2.5359,3.9373,1.4348,0.19371,0.028929,0.293541,7,0.185171,talking/singing
10-FemaleNoGlasses-Talking.avi,4,207,211,6.9069,7.0404,0.1668,0.263279,2.17708,1.586712,1,0.25474,talking/singing
10-FemaleNoGlasses-Talking.avi,5,329,341,10.9776,11.378,0.4338,0.328458,0.609323,1.025564,1,0.31992,talking/singing
10-FemaleNoGlasses-Talking.avi,6,348,354,11.6116,11.8118,0.2336,0.173417,0.294363,0.368237,1,0.164878,talking/singing
10-FemaleNoGlasses-Talking.avi,7,399,404,13.3133,13.4801,0.2002,0.19284,0.277677,0.86044,1,0.184301,talking/singing
10-FemaleNoGlasses-Talking.avi,8,527,566,17.5842,18.8855,1.3347,0.215915,0.385448,0.101605,5,0.207376,talking/singing
10-FemaleNoGlasses-Talking.avi,9,575,579,19.1858,19.3193,0.1668,0.185332,0.743056,1.047415,1,0.176793,talking/singing
10-FemaleNoGlasses-Talking.avi,10,591,602,19.7197,20.0867,0.4004,0.25344,0.750212,0.482802,1,0.244902,talking/singing
10-FemaleNoGlasses-Talking.avi,11,629,651,20.9876,21.7217,0.7674,0.201319,0.108714,0.152182,3,0.19278,talking/singing
10-FemaleNoGlasses-Talking.avi,12,673,683,22.4558,22.7894,0.367,0.188511,0.28288,0.372613,1,0.179972,talking/singing
10-FemaleNoGlasses-Talking.avi,13,695,703,23.1898,23.4568,0.3003,0.161067,0.0,0.123928,0,0.152528,talking/singing
10-FemaleNoGlasses-Talking.avi,14,798,911,26.6266,30.397,3.8038,0.272692,0.103469,0.051964,19,0.264153,talking/singing
10-FemaleNoGlasses-Talking.avi,15,914,976,30.4971,32.5659,2.1021,0.387644,0.14925,0.487201,11,0.379105,talking/singing
10-FemaleNoGlasses-Talking.avi,16,986,1026,32.8995,34.2342,1.368,0.215415,0.179245,0.096423,7,0.206876,talking/singing
1-FemaleNoGlasses-Yawning.avi,1,47,167,1.5682,5.5722,4.0374,1.130158,0.325392,0.94722,13,1.11365,yawning
1-FemaleNoGlasses-Yawning.avi,2,228,235,7.6076,7.8412,0.2669,0.187733,0.227434,0.289927,1,0.171225,yawning
