check_id,video_name,event_id,start_frame,end_frame,start_sec,end_sec,jump_to_mmss,then_step_frames,frames_to_watch
1,10-FemaleNoGlasses-Normal.avi,1,162,185,5.4054,6.1728,00:00:05,12,24
2,1-FemaleNoGlasses-Talking.avi,1,15,306,0.5005,10.2102,00:00:00,15,292
3,1-FemaleNoGlasses-Talking.avi,2,312,316,10.4104,10.5439,00:00:10,12,5
4,1-FemaleNoGlasses-Talking.avi,3,334,344,11.1445,11.4781,00:00:11,4,11
5,1-FemaleNoGlasses-Talking.avi,4,385,474,12.8462,15.8158,00:00:12,25,90
6,1-FemaleNoGlasses-Talking.avi,5,481,492,16.0494,16.4164,00:00:16,1,12
7,1-FemaleNoGlasses-Talking.avi,6,508,513,16.9503,17.1171,00:00:16,28,6
8,1-FemaleNoGlasses-Talking.avi,7,541,550,18.0514,18.3517,00:00:18,2,10
9,10-FemaleNoGlasses-Talking.avi,1,43,46,1.4348,1.5349,00:00:01,13,4
10,10-FemaleNoGlasses-Talking.avi,2,53,58,1.7684,1.9353,00:00:01,23,6
11,10-FemaleNoGlasses-Talking.avi,3,77,119,2.5692,3.9706,00:00:02,17,43
12,10-FemaleNoGlasses-Talking.avi,4,208,213,6.9403,7.1071,00:00:06,28,6
13,10-FemaleNoGlasses-Talking.avi,5,330,342,11.011,11.4114,00:00:11,0,13
14,10-FemaleNoGlasses-Talking.avi,6,350,355,11.6783,11.8452,00:00:11,20,6
15,10-FemaleNoGlasses-Talking.avi,7,400,405,13.3467,13.5135,00:00:13,10,6
16,10-FemaleNoGlasses-Talking.avi,8,528,566,17.6176,18.8855,00:00:17,18,39
17,10-FemaleNoGlasses-Talking.avi,9,576,580,19.2192,19.3527,00:00:19,7,5
18,10-FemaleNoGlasses-Talking.avi,10,592,604,19.7531,20.1535,00:00:19,23,13
19,10-FemaleNoGlasses-Talking.avi,11,630,652,21.021,21.7551,00:00:21,1,23
20,10-FemaleNoGlasses-Talking.avi,12,675,683,22.5225,22.7894,00:00:22,16,9
21,10-FemaleNoGlasses-Talking.avi,13,799,976,26.66,32.5659,00:00:26,20,178
22,10-FemaleNoGlasses-Talking.avi,14,987,1026,32.9329,34.2342,00:00:32,28,40
23,1-FemaleNoGlasses-Yawning.avi,1,48,168,1.6016,5.6056,00:00:01,18,121
24,1-FemaleNoGlasses-Yawning.avi,2,229,236,7.641,7.8745,00:00:07,19,8
25,10-FemaleNoGlasses-Yawning.avi,1,82,102,2.7361,3.4034,00:00:02,22,21
